,img_filepath,img_size,bbox_tl_x,bbox_tl_y,bbox_br_x,bbox_br_y
0,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000002_l.jpg,"(576, 720, 3)",333,274,422,203
1,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000002_r.jpg,"(576, 720, 3)",262,431,351,349
2,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000003_l.jpg,"(576, 720, 3)",339,234,382,191
3,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000003_r.jpg,"(576, 720, 3)",283,463,372,410
4,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000004_l.jpg,"(576, 720, 3)",318,266,402,188
5,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000004_r.jpg,"(576, 720, 3)",290,277,390,207
6,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000005_l.jpg,"(576, 720, 3)",367,238,429,187
7,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000005_r.jpg,"(576, 720, 3)",253,294,323,222
8,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000006_l.jpg,"(576, 720, 3)",316,375,401,304
9,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000006_r.jpg,"(576, 720, 3)",274,467,371,374
10,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000007_l.jpg,"(576, 720, 3)",417,313,505,246
11,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000007_r.jpg,"(576, 720, 3)",206,330,305,238
12,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000008_l.jpg,"(576, 720, 3)",444,380,525,311
13,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000008_r.jpg,"(576, 720, 3)",187,386,276,314
14,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000015_l.jpg,"(576, 720, 3)",407,318,483,259
15,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000015_r.jpg,"(576, 720, 3)",160,376,269,349
16,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000016_l.jpg,"(576, 720, 3)",376,356,430,299
17,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000016_r.jpg,"(576, 720, 3)",281,497,360,451
18,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000017_l.jpg,"(576, 720, 3)",370,258,411,168
19,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000017_r.jpg,"(576, 720, 3)",327,358,401,328
20,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000018_l.jpg,"(576, 720, 3)",374,248,430,196
21,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000018_r.jpg,"(576, 720, 3)",300,423,392,356
22,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000019_l.jpg,"(576, 720, 3)",359,276,407,222
23,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000019_r.jpg,"(576, 720, 3)",325,282,420,225
24,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000020_l.jpg,"(576, 720, 3)",387,319,441,290
25,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000020_r.jpg,"(576, 720, 3)",350,299,438,268
26,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000021_l.jpg,"(576, 720, 3)",408,298,457,258
27,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000021_r.jpg,"(576, 720, 3)",357,291,441,258
28,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000022_l.jpg,"(576, 720, 3)",377,499,415,409
